DATE,TIME,VOLUME,OPEN,CLOSE,MIN,MAX
09/15/2011,19:37:01,258,.6329,.6329,.6328,.6331
09/15/2011,19:38:01,201,.633,.6329,.6328,.633
09/15/2011,19:39:01,125,.6329,.633,.6328,.633
09/15/2011,19:40:01,236,.633,.6329,.6328,.633
09/15/2011,19:41:01,231,.6329,.6328,.6327,.633
09/15/2011,19:42:01,255,.6328,.6328,.6327,.633
09/15/2011,19:43:01,307,.6328,.6328,.6327,.6329
09/15/2011,19:44:01,229,.6328,.6328,.6327,.6329
09/15/2011,19:45:01,344,.6328,.633,.6327,.6331
09/15/2011,19:46:01,396,.6329,.633,.6329,.6331
09/15/2011,19:47:01,249,.633,.633,.6329,.6332
09/15/2011,19:48:01,388,.6331,.633,.633,.6332
09/15/2011,19:49:01,359,.633,.6329,.6328,.6332
09/15/2011,19:50:01,325,.6329,.633,.6328,.6331
09/15/2011,19:51:01,384,.633,.633,.6329,.6332
09/15/2011,19:52:01,255,.633,.633,.633,.6332
09/15/2011,19:53:01,178,.6331,.633,.633,.6332
09/15/2011,19:54:01,303,.633,.633,.633,.6332
09/15/2011,19:55:01,168,.6331,.633,.6329,.6331
09/15/2011,19:56:01,125,.633,.633,.633,.6331
09/15/2011,19:57:01,168,.633,.6332,.633,.6332
09/15/2011,19:58:01,216,.6332,.6331,.633,.6333
09/15/2011,19:59:01,295,.6331,.633,.6329,.6332
09/15/2011,20:00:01,355,.633,.6329,.6328,.6332
09/15/2011,20:01:01,254,.633,.6328,.6328,.633
09/15/2011,20:02:01,340,.6328,.6329,.6328,.633
09/15/2011,20:03:01,299,.6328,.6329,.6328,.633
09/15/2011,20:04:01,219,.6328,.6329,.6328,.633
09/15/2011,20:05:01,255,.6329,.633,.6328,.6331
09/15/2011,20:06:01,216,.633,.633,.6329,.6331
09/15/2011,20:07:01,200,.633,.633,.6329,.6331
09/15/2011,20:08:01,208,.633,.633,.6329,.6331
09/15/2011,20:09:01,155,.6329,.633,.6329,.6331
